id,partido,coalicion,nombre
1082,RN,CV,Cristóbal Urruticoechea Ríos
1182,IND,NPC,Sebastián Videla Castillo
917,UDI,CV,Gastón Von Mühlenbrock Zamora
1183,UDI,CV,Flor Weisse Novoa
1086,CS,AD,Gonzalo Winter Etcheberry
975,PS,NPC,Daniella Cicardini Milla
1039,PH,SC,Pamela Jiles Moreno
1021,RN,CV,Andrés Celis Montt
74,PS,NPC,Jaime Naranjo Ortiz
1113,UDI,CV,Marta Bravo Salinas
1129,IND,AD,Andrés Giordano Salazar
991,PL,NPC,Vlado Mirosevic Verdugo
999,RN,CV,Jorge Rathgeb Schifferli
1013,PL,NPC,Alejandro Bernales Maldonado
1135,PREP,SC,Johannes Kaiser Barents-Von Hohenhagen
1144,IND,CV,Christian Matheson Villán
1149,RN,CV,Carla Morales Maldonado
1036,IND,AD,Tomás Hirsch Goldschmidt
