Comunista,AD
Comité Mixto RD Comunes Convergencia Social e Independientes,AD
Comité Mixto Humanista - Federación Regionalista Verde Social - Ecologista Verde - Independientes,SC
Socialista,NPC
Comité Mixto de los Partidos Liberal Socialista e Independientes,NPC
Partido Por la Democracia,NPC
Radical - Independientes,NPC
Demócrata Cristiano,NPC
Evolución Política,CV
Renovación Nacional,CV
Unión Demócrata Independiente,CV
Comité Independientes,SC
Por definir,SC
