id,partido,coalicion,nombre
1092,RD,AD,Marcela Sandoval Osorio
1091,PC,AD,Rubén Moraga Mamani
1093,PPD,UC,Patricia Rubio Escobar
1094,UDI,CV,Cristian Labbé Martínez
908,PLR,CV,Ignacio Urrutia Bonilla
855,IND,SC,Carlos Abel Jarpa Wevar
866,IND,UC,Fernando Meza Moncada
1087,CS,AD,Gael Yeomans Araya
1086,CS,AD,Gonzalo Winter Etcheberry
1037,CS,AD,Diego Ibáñez Cotroneo
972,CS,AD,Gabriel Boric Font
827,IND,AD,Marcelo Díaz Díaz
862,IND,SC,Pablo Lorenzini Basso
1080,IND,SC,Virginia Troncoso Hellman
1095,UDI,CV,Juan Manuel Masferrer Vidal
